5.0,14.0,15.0,12.0,26.0,20.0,21.0,64.0,
18.0,20.0,42.0,12.0,12.0,21.0,25.0,44.0,
24.0,72.0,8.0,15.0,21.0,16.0,4.0,13.0,
37.0,38.0,21.0,8.0,37.0,19.0,11.0,13.0,
7.0,16.0,25.0,12.0,37.0,24.0,18.0,31.0,
40.0,18.0,25.0,11.0,13.0,26.0,18.0,33.0,
11.0,3.0,16.0,20.0,17.0,16.0,69.0,15.0,
24.0,18.0,22.0,19.0,60.0,5.0,22.0,16.0,
20.0,7.0,49.0,29.0,9.0,14.0,32.0,6.0,
25.0,15.0,65.0,23.0,20.0,3.0,15.0,11.0,
13.0,36.0,9.0,29.0,15.0,33.0,20.0,32.0,
28.0,45.0,26.0,25.0,16.0,26.0,21.0,7.0,
67.0,19.0,18.0,29.0,13.0,14.0,18.0,4.0,
9.0,16.0,4.0,23.0,10.0,60.0,13.0,25.0,
