4000
Atoms. Timestep: 0
1 5.94161 12.6159 8.78443
1 0.688281 11.8191 3.95746
1 7.1778 9.12114 3.39012
1 2.14768 14.9706 -0.797855
1 10.3489 8.41328 0.838059
1 0.280026 11.8714 5.41931
1 2.80151 15.797 -1.67615
1 11.8081 11.3208 3.7228
1 11.6483 10.5578 -2.39272
1 9.4627 13.7458 1.86195
1 9.71424 15.3827 3.9138
1 11.2337 11.881 2.41467
1 14.3296 12.3008 6.51595
1 7.77211 11.3922 1.32032
1 9.54251 7.61911 7.67543
1 9.70957 15.0809 2.42404
1 12.9435 13.9691 2.11715
1 10.4802 9.39673 1.80042
1 13.5322 12.2705 -2.96989
1 12.982 14.0272 7.87056
1 8.10762 12.3669 0.322886
1 12.7408 12.11 4.56725
1 13.1137 15.1231 1.35345
1 12.3326 12.6252 1.61445
1 9.91111 12.5918 2.61365
1 8.86678 13.5509 0.571684
1 11.4708 9.94325 4.1034
1 13.5814 11.5595 5.66888
1 11.8879 9.92053 -0.989459
1 7.84826 12.923 3.3151
1 12.6252 12.0405 0.266958
1 11.0553 8.90502 3.17033
1 13.8762 15.183 8.11586
1 8.90272 8.9878 7.56188
1 11.7582 10.8751 0.111981
1 9.01895 14.649 -0.457206
1 10.9814 10.7014 1.38388
1 7.70361 9.30796 8.22696
1 10.069 15.6429 -0.452875
1 17.4093 13.6236 7.82488
1 19.8953 8.09838 1.45352
1 14.5382 12.3331 2.44567
1 15.5943 15.6553 1.40038
1 17.4127 7.89827 4.45264
1 20.3205 12.2542 9.75071
1 13.6863 12.9616 -1.70021
1 14.7411 9.82309 7.79403
1 15.5461 13.3532 2.63341
1 16.2762 13.6282 4.00757
1 16.3362 12.524 4.91859
1 22.8682 9.6542 -1.60857
1 18.7239 13.6575 8.40512
1 13.8152 12.2737 -0.429417
1 16.852 12.3184 7.38967
1 21.3014 13.9672 8.29433
1 18.2909 8.36058 3.39498
1 16.9559 9.08354 6.66793
1 16.003 14.1925 1.52293
1 17.0006 11.2239 8.20282
1 16.914 14.9441 4.26351
1 21.2479 7.55909 1.27908
1 15.1262 11.8092 0.0531735
1 21.963 9.23147 -0.533579
1 15.8772 12.4372 6.30833
1 19.8694 14.244 7.74215
1 17.6023 9.8951 7.68114
1 22.2669 8.3243 0.506273
1 16.3677 12.4777 -0.2363
1 22.9718 10.6118 4.78221
1 17.7124 8.21389 5.84222
1 16.8454 13.6077 0.479887
1 24.1279 12.2228 7.10311
1 25.2674 9.37173 1.41152
1 24.4851 12.4915 5.72289
1 26.1581 13.022 -0.481913
1 27.3403 12.611 4.68457
1 27.0862 16.6417 5.7692
1 23.6897 10.7806 -1.57052
1 24.3133 9.23987 8.76169
1 24.0621 11.5299 4.66674
1 26.5765 14.8636 2.39757
1 22.2371 7.81793 7.0453
1 28.7158 10.9952 1.49744
1 23.3311 16.6847 6.57632
1 24.292 11.3081 -0.28006
1 25.2247 13.7073 5.28327
1 26.8407 14.8622 3.84381
1 27.396 11.5525 3.65615
1 23.5897 9.74763 7.5509
1 24.7194 12.6644 -0.146116
1 23.1903 11.1486 7.52409
1 27.4896 16.0386 4.50704
1 26.1193 9.56259 2.5393
1 23.7377 13.6951 0.187413
1 28.6419 11.2147 2.96593
1 24.7885 11.5396 3.37631
1 26.4972 13.7206 4.59237
1 22.9674 8.87891 6.61288
1 26.0749 10.8865 3.17047
1 24.9695 17.2983 -0.590851
1 27.0412 8.17883 5.56971
1 22.3025 14.9308 8.13673
1 23.9678 14.5041 -2.85941
1 31.1574 12.9573 -1.46827
1 32.9397 9.84062 0.849362
1 35.744 16.1778 5.81982
1 27.6641 15.0282 1.42783
1 31.7055 11.8502 -0.829317
1 41.1935 15.0361 6.13296
1 27.6675 11.39 0.590047
1 32.4462 8.75101 7.73848
1 30.1539 13.8122 -0.909951
1 33.9994 16.0397 3.64632
1 26.9868 7.14269 2.43369
1 33.3391 11.1723 -2.70592
1 33.8174 16.6441 7.45476
1 27.3637 12.734 0.226911
1 36.284 15.767 4.5547
1 33.4375 16.2923 5.0357
1 34.0864 8.71864 -1.15546
1 33.0636 10.098 7.42846
1 28.2386 13.8881 0.729244
1 34.2604 7.43704 6.62431
1 37.7369 15.6034 4.35787
1 33.3376 9.84205 -0.597661
1 29.6767 13.7931 0.412473
1 32.83 10.9919 -1.38634
1 33.3737 10.4569 6.02647
1 34.344 16.3856 6.14412
1 28.0064 8.49079 8.46504
1 35.1945 8.10435 -0.50298
1 30.678 13.6899 1.44139
1 35.4091 7.9031 0.882626
1 26.506 15.8067 6.74363
1 31.139 14.8029 2.22739
1 2.14212 19.8095 6.84504
1 3.28832 17.1257 -1.37592
1 3.06395 18.6958 7.12953
1 1.77916 24.3531 4.35122
1 4.16935 20.0154 -0.948099
1 6.07767 17.4039 8.54223
1 0.235351 18.4011 0.24979
1 3.68723 15.0973 10.5737
1 -0.969223 20.4868 -0.712259
1 6.20575 20.0054 5.71425
1 0.470293 14.2834 3.94684
1 5.66505 19.8137 -1.10647
1 1.29032 22.2393 8.86143
1 0.10304 19.5184 -0.694434
1 5.03752 16.973 9.58117
1 6.57529 20.5737 7.00462
1 3.3639 19.2244 0.0420169
1 0.771506 15.729 7.33898
1 1.75101 25.9161 3.8304
1 0.202576 15.6071 6.064
1 5.19228 17.338 7.21471
1 2.71005 17.9243 -0.363634
1 1.21381 26.0063 2.42715
1 6.37426 20.5413 -2.06864
1 0.123821 14.32 5.32933
1 4.38639 18.4737 6.63352
1 0.577133 14.7612 8.35124
1 3.21926 19.771 1.43255
1 2.05001 25.7602 1.31735
1 8.71322 13.1128 4.4614
1 -0.623963 13.9873 8.36207
1 1.85061 26.2991 -0.0393533
1 10.3428 17.8978 3.55491
1 9.79063 16.9611 0.0358182
1 12.8271 17.5604 3.01852
1 7.14657 20.0696 4.59388
1 11.4592 17.9879 2.61402
1 13.2478 16.4402 8.60723
1 6.35419 18.7438 -0.294106
